rank,title,cine21_score,daily_audience,total_audience,open_date,movie_id,detail_url,rating,runtime,genre,country,director
1,오디세이,7.55,2608523,5786461,2026-08-05,62585,https://www.cine21.com/movie/info/?movie_id=62585,15세이상관람가,172분,"액션, 모험, 드라마",미국,크리스토퍼 놀란
2,스파이더맨: 브랜드 뉴 데이,7.33,1074435,7735131,2026-07-29,63091,https://www.cine21.com/movie/info/?movie_id=63091,12세이상관람가,144분,"판타지, 어드벤처, 액션",미국,데스틴 크리튼
3,사랑의 하츄핑: 고래보석의 전설,7.0,204762,718552,2026-08-05,63075,https://www.cine21.com/movie/info/?movie_id=63075,전체 관람가,105분,애니메이션,한국,김수훈
4,명탐정 코난: 하이웨이의 타천사,6.0,167913,306225,2026-08-12,63245,https://www.cine21.com/movie/info/?movie_id=63245,12세이상관람가,109분,애니메이션,일본,하스이 타카히로
5,오케이 마담2,5.6,162701,271944,2026-08-12,63240,https://www.cine21.com/movie/info/?movie_id=63240,15세이상관람가,108분,"액션, 코미디",한국,이철하
6,퍼피 구조대: 더 다이노 무비,5.0,63624,74372,2026-08-13,63117,https://www.cine21.com/movie/info/?movie_id=63117,전체 관람가,88분,애니메이션,미국,캘런 브런커
7,호프,6.83,54013,4499684,2026-07-15,62480,https://www.cine21.com/movie/info/?movie_id=62480,15세이상관람가,156분,"액션, 스릴러, SF",한국,나홍진
8,인시디어스: 그들이 넘어왔다,,22330,22330,,,,,,,,
9,어떻게 해야 했을까?,6.5,15736,77999,2026-07-29,63282,https://www.cine21.com/movie/info/?movie_id=63282,12세이상관람가,101분,다큐멘터리,일본,후지노 토모아키
10,다윗,5.0,8166,300512,2026-07-10,63108,https://www.cine21.com/movie/info/?movie_id=63108,전체 관람가,109분,애니메이션,미국,필 커닝햄 브렌트 도스
