date,rank,movieCd,movieNm,openDt,audiCnt,audiAcc,salesAmt,salesAcc,scrnCnt,showCnt
2026-08-01,1,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,901577,2561982,9697260810,27082487450,2409,10152
2026-08-01,2,20233219,호프,2026-07-15,136417,3992644,1403288900,43077844680,957,2724
2026-08-01,3,20261784,미니언즈 & 몬스터즈,2026-07-15,22173,690910,211438510,6935325100,715,1091
2026-08-01,4,20259946,모아나,2026-07-08,12729,987184,124129850,10502662130,465,626
2026-08-01,5,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,10683,16191,128012600,181714600,76,91
2026-08-01,6,20259781,토이 스토리 5,2026-06-17,9940,2900658,100129740,29836233200,367,455
2026-08-01,7,20262902,다윗,2026-07-10,8795,253432,85172890,2469146810,253,285
2026-08-01,8,20264148,어떻게 해야 했을까?,2026-07-29,6224,18574,64192100,186868020,67,110
2026-08-01,9,20242402,눈동자,2026-06-24,2646,1535034,28513200,15836610200,160,187
2026-08-01,10,20264665,드림 애니멀즈: 더무비,2026-07-24,1365,40585,12517310,362580450,130,134
2026-08-02,1,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,826331,3388313,8780276600,35862764050,2382,9784
2026-08-02,2,20233219,호프,2026-07-15,117895,4110539,1200362570,44278207250,965,2620
2026-08-02,3,20261784,미니언즈 & 몬스터즈,2026-07-15,23030,713940,218408190,7153733290,716,1089
2026-08-02,4,20259946,모아나,2026-07-08,12763,999947,124095400,10626757530,452,580
2026-08-02,5,20259781,토이 스토리 5,2026-06-17,11554,2912212,115375580,29951608780,375,472
2026-08-02,6,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,10305,26496,125351720,307066320,75,85
2026-08-02,7,20262902,다윗,2026-07-10,9917,263349,94622950,2563769760,243,276
2026-08-02,8,20264148,어떻게 해야 했을까?,2026-07-29,5434,24008,56577800,243445820,63,107
2026-08-02,9,20242402,눈동자,2026-06-24,2341,1537375,25049300,15861659500,151,176
2026-08-02,10,20264665,드림 애니멀즈: 더무비,2026-07-24,1411,41996,12786500,375366950,126,130
2026-08-03,1,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,401780,3790093,4174462150,40037226200,2178,8774
2026-08-03,2,20233219,호프,2026-07-15,63927,4174466,618271300,44896478550,901,2658
2026-08-03,3,20261784,미니언즈 & 몬스터즈,2026-07-15,12454,726394,113041800,7266775090,672,1050
2026-08-03,4,20259781,토이 스토리 5,2026-06-17,7454,2919666,71227390,30022836170,384,487
2026-08-03,5,20259946,모아나,2026-07-08,6986,1006933,65168340,10691925870,437,580
2026-08-03,6,20264148,어떻게 해야 했을까?,2026-07-29,3147,27155,31604660,275050480,59,103
2026-08-03,7,20262902,다윗,2026-07-10,3085,266434,29609230,2593378990,171,199
2026-08-03,8,20242402,눈동자,2026-06-24,1489,1538864,15303850,15876963350,164,185
2026-08-03,9,20264665,드림 애니멀즈: 더무비,2026-07-24,845,42841,7537100,382904050,112,112
2026-08-03,10,20250654,오디세이,2026-08-05,678,1302,6102000,16710000,2,2
2026-08-04,1,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,348285,4138378,3631187270,43668413470,2214,8852
2026-08-04,2,20233219,호프,2026-07-15,61234,4235700,582035140,45478513690,919,2690
2026-08-04,3,20261784,미니언즈 & 몬스터즈,2026-07-15,12337,738731,110412150,7377187240,668,1029
2026-08-04,4,20259781,토이 스토리 5,2026-06-17,7890,2927556,73375740,30096211910,385,488
2026-08-04,5,20259946,모아나,2026-07-08,6860,1013793,63507000,10755432870,444,603
2026-08-04,6,20262902,다윗,2026-07-10,3059,269493,28581200,2621960190,178,204
2026-08-04,7,20264148,어떻게 해야 했을까?,2026-07-29,2991,30146,29506850,304557330,56,104
2026-08-04,8,20242402,눈동자,2026-06-24,1369,1540233,13952100,15890915450,168,189
2026-08-04,9,20250654,오디세이,2026-08-05,1065,2367,12681000,29391000,3,3
2026-08-04,10,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,916,27412,10966800,318033120,3,6
2026-08-05,1,20250654,오디세이,2026-08-05,292705,295072,3136526240,3165917240,1682,5036
2026-08-05,2,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,275160,4413538,2725184730,46393598200,1666,5657
2026-08-05,3,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,73165,100577,659585480,977618600,824,1751
2026-08-05,4,20233219,호프,2026-07-15,30063,4265763,290892170,45769405860,690,1164
2026-08-05,5,20261784,미니언즈 & 몬스터즈,2026-07-15,5297,744028,45915250,7423102490,302,340
2026-08-05,6,20264148,어떻게 해야 했을까?,2026-07-29,4132,34278,39024770,343582100,74,140
2026-08-05,7,20259781,토이 스토리 5,2026-06-17,2768,2930324,25988750,30122200660,150,162
2026-08-05,8,20259946,모아나,2026-07-08,2325,1016118,19959260,10775392130,119,127
2026-08-05,9,20262902,다윗,2026-07-10,1390,270883,12720600,2634680790,70,74
2026-08-05,10,20262945,퍼피 구조대: 더 다이노 무비,2026-08-13,746,746,6714000,6714000,3,3
2026-08-06,1,20250654,오디세이,2026-08-05,246219,541291,2672164870,5838082110,1660,4912
2026-08-06,2,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,238066,4651604,2367884110,48761482310,1694,5675
2026-08-06,3,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,43768,144345,386345380,1363963980,801,1698
2026-08-06,4,20233219,호프,2026-07-15,27200,4292963,261929550,46031335410,688,1163
2026-08-06,5,20261784,미니언즈 & 몬스터즈,2026-07-15,4646,748674,38688200,7461790690,284,313
