date,rank,movieCd,movieNm,openDt,audiCnt,audiAcc,salesAmt,salesAcc,scrnCnt,showCnt
2025-08-15,1,20241941,좀비딸,2025-07-30,290709,4046131,2835148970,38201765980,1438,6343
2025-08-15,2,20254501,F1 더 무비,2025-06-25,140886,3971606,1598074170,42788953890,937,2792
2025-08-15,3,20210546,악마가 이사왔다,2025-08-13,73914,166307,720667880,1567588050,839,3181
2025-08-15,4,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,24374,52879,251920180,530160100,411,613
2025-08-15,5,20254275,킹 오브 킹스,2025-07-16,21818,1206408,210550250,11395045306,526,707
2025-08-15,6,20252680,스머프,2025-08-06,19243,131397,177210590,1166291440,535,693
2025-08-15,7,20248711,발레리나,2025-08-06,19142,256380,196316400,2546248560,532,871
2025-08-15,8,20247460,배드 가이즈 2,2025-07-30,17719,344332,163500090,3101990430,481,614
2025-08-15,9,20255655,식스데이즈,2025-08-13,5415,26096,119130000,570164000,113,256
2025-08-15,10,20254603,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,5057,202760,50994500,1883312110,186,210
2025-08-16,1,20241941,좀비딸,2025-07-30,261583,4307714,2569869840,40771635820,1477,6413
2025-08-16,2,20254501,F1 더 무비,2025-06-25,130471,4102077,1462043500,44250997390,981,2845
2025-08-16,3,20210546,악마가 이사왔다,2025-08-13,57897,224204,572753440,2140341490,814,2933
2025-08-16,4,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,25833,78712,269824960,799985060,437,686
2025-08-16,5,20248711,발레리나,2025-08-06,18151,274531,186195060,2732443620,540,859
2025-08-16,6,20254275,킹 오브 킹스,2025-07-16,17779,1224187,168246630,11563291936,536,709
2025-08-16,7,20247460,배드 가이즈 2,2025-07-30,12506,356838,116708880,3218699310,500,622
2025-08-16,8,20252680,스머프,2025-08-06,12034,143431,110673980,1276965420,517,659
2025-08-16,9,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,11548,12172,191858500,202466500,37,37
2025-08-16,10,20255655,식스데이즈,2025-08-13,5258,31354,115676000,685840000,117,250
2025-08-17,1,20241941,좀비딸,2025-07-30,211059,4518773,2063574260,42835210080,1442,6003
2025-08-17,2,20254501,F1 더 무비,2025-06-25,103896,4205973,1159259850,45410257240,969,2674
2025-08-17,3,20210546,악마가 이사왔다,2025-08-13,45855,270059,457626580,2597968070,789,2666
2025-08-17,4,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,22932,101644,238754430,1038739490,432,694
2025-08-17,5,20254275,킹 오브 킹스,2025-07-16,19531,1243718,179133800,11742425736,539,671
2025-08-17,6,20248711,발레리나,2025-08-06,12350,286881,126387710,2858831330,526,800
2025-08-17,7,20247460,배드 가이즈 2,2025-07-30,11878,368716,110313980,3329013290,476,596
2025-08-17,8,20252680,스머프,2025-08-06,11798,155229,108147630,1385113050,507,643
2025-08-17,9,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,11460,23632,190379000,392845500,37,37
2025-08-17,10,20251543,독립군: 끝나지 않은 전쟁,2025-08-13,4606,16392,42516500,151422400,163,176
2025-08-18,1,20241941,좀비딸,2025-07-30,61234,4580007,581856240,43417066320,1207,5004
2025-08-18,2,20254501,F1 더 무비,2025-06-25,36659,4242632,402818550,45813075790,879,2464
2025-08-18,3,20210546,악마가 이사왔다,2025-08-13,15199,285258,140077380,2738045450,702,2288
2025-08-18,4,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,10956,112600,110435160,1149174650,388,691
2025-08-18,5,20248711,발레리나,2025-08-06,5658,292539,54797000,2913628330,494,824
2025-08-18,6,20254275,킹 오브 킹스,2025-07-16,3263,1246981,30437450,11772863186,363,447
2025-08-18,7,20252680,스머프,2025-08-06,2664,157893,22952700,1408065750,285,317
2025-08-18,8,20247460,배드 가이즈 2,2025-07-30,2522,371238,22227700,3351240990,299,343
2025-08-18,9,20251543,독립군: 끝나지 않은 전쟁,2025-08-13,2317,18709,20602820,172025220,160,177
2025-08-18,10,20256149,머티리얼리스트,2025-08-08,1762,43685,14620000,412885340,130,238
2025-08-19,1,20241941,좀비딸,2025-07-30,53951,4633958,506850180,43923916500,1234,4949
2025-08-19,2,20254501,F1 더 무비,2025-06-25,34652,4277284,388850910,46201926700,878,2445
2025-08-19,3,20210546,악마가 이사왔다,2025-08-13,15336,300594,138681960,2876727410,706,2281
2025-08-19,4,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,10584,123184,106584850,1255759500,433,754
2025-08-19,5,20248711,발레리나,2025-08-06,5271,297810,51198500,2964826830,514,829
2025-08-19,6,20254275,킹 오브 킹스,2025-07-16,3350,1250331,30358300,11803221486,350,428
2025-08-19,7,20252680,스머프,2025-08-06,2578,160471,21193700,1429259450,294,333
2025-08-19,8,20251543,독립군: 끝나지 않은 전쟁,2025-08-13,2476,21185,22936100,194961320,177,194
2025-08-19,9,20247460,배드 가이즈 2,2025-07-30,2385,373623,20632650,3371873640,273,311
2025-08-19,10,20256522,백! 스테이지,,2286,3881,11430000,19413000,25,42
2025-08-20,1,20241941,좀비딸,2025-07-30,50380,4684338,475149940,44399066440,1267,4932
2025-08-20,2,20254501,F1 더 무비,2025-06-25,37646,4314930,420377440,46622304140,889,2522
2025-08-20,3,20210546,악마가 이사왔다,2025-08-13,17549,318143,153599560,3030326970,707,2139
2025-08-20,4,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,10273,133457,104476950,1360236450,420,766
2025-08-20,5,20248711,발레리나,2025-08-06,5155,302965,50606800,3015433630,466,770
2025-08-20,6,20255937,어글리 시스터,2025-08-20,5011,5211,45932400,47332400,187,413
2025-08-20,7,20254275,킹 오브 킹스,2025-07-16,2465,1252796,22495300,11825716786,319,380
2025-08-20,8,20110026,로마의 휴일,2025-08-20,2319,28254,20943600,131646600,77,123
2025-08-20,9,20252680,스머프,2025-08-06,2227,162698,17149300,1446408750,211,229
2025-08-20,10,20255655,식스데이즈,2025-08-13,1903,37119,41866000,812670000,109,226
2025-08-21,1,20241941,좀비딸,2025-07-30,46998,4731336,438391990,44837458430,1255,4871
2025-08-21,2,20254501,F1 더 무비,2025-06-25,39199,4354129,441919350,47064223490,879,2496
2025-08-21,3,20210546,악마가 이사왔다,2025-08-13,15634,333777,140690780,3171017750,709,2136
2025-08-21,4,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,9463,142920,97096740,1457333190,438,783
2025-08-21,5,20248711,발레리나,2025-08-06,4975,307940,48354140,3063787770,453,786
2025-08-21,6,20255937,어글리 시스터,2025-08-20,3001,8212,28578700,75911100,182,365
2025-08-21,7,20254275,킹 오브 킹스,2025-07-16,2854,1255650,25786250,11851503036,338,408
2025-08-21,8,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,2330,25962,37098000,429943500,9,9
2025-08-21,9,20245055,백산 - 의령에서 발해까지,2025-02-05,2087,10470,11978500,75710500,42,55
2025-08-21,10,20252680,스머프,2025-08-06,1700,164398,12877300,1459286050,204,216
2025-08-22,1,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,517922,543884,5674122640,6104066140,2298,8510
