district,reference_year,one_person_total,one_person_under_20,one_person_age_20_39,one_person_age_40_64,one_person_age_65_plus,age_20_39_share_pct,age_65_plus_share_pct,age_segment_sum,reconciliation_difference,source_table_id,source_name
종로구,2025,30684,500,14572,9052,6560,47.49,21.38,30684,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중구,2025,29148,445,13530,8728,6445,46.42,22.11,29148,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
용산구,2025,40988,198,20405,12628,7757,49.78,18.93,40988,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성동구,2025,48664,443,23989,14110,10122,49.3,20.8,48664,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
광진구,2025,75319,704,42765,19707,12143,56.78,16.12,75319,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동대문구,2025,73639,1243,38791,18254,15351,52.68,20.85,73639,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
중랑구,2025,71249,188,24958,25557,20546,35.03,28.84,71249,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
성북구,2025,71799,1470,34514,18853,16962,48.07,23.62,71799,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,2025,54655,383,17013,18841,18418,31.13,33.7,54655,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,2025,44448,176,11720,16161,16391,26.37,36.88,44448,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,2025,68464,750,21072,21487,25155,30.78,36.74,68464,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,2025,71796,174,27416,23403,20803,38.19,28.98,71796,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,2025,57273,646,29957,14477,12193,52.31,21.29,57273,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,2025,73242,550,41835,19231,11626,57.12,15.87,73242,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,2025,49370,122,15256,17345,16647,30.9,33.72,49370,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,2025,108459,210,51854,31421,24974,47.81,23.03,108459,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
구로구,2025,65153,218,27688,20514,16733,42.5,25.68,65153,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
금천구,2025,55126,109,26817,16628,11572,48.65,20.99,55126,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
영등포구,2025,81908,180,45577,21882,14269,55.64,17.42,81908,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
동작구,2025,78375,1028,45706,17869,13772,58.32,17.57,78375,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
관악구,2025,158667,1164,103198,33998,20307,65.04,12.8,158667,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서초구,2025,50435,437,23376,16679,9943,46.35,19.71,50435,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강남구,2025,79351,382,37363,26066,15540,47.09,19.58,79351,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
송파구,2025,91108,253,43055,28732,19068,47.26,20.93,91108,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강동구,2025,70590,143,28172,23508,18767,39.91,26.59,70590,0,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
