locker_id,district,locker_name,address,full_address,latitude,longitude,collection_date,district_source,address_source,quality_status
LKR_a2147b8d6417,관악구,국사봉체육관,국회단지길 144,서울특별시 관악구 국회단지길 144,37.4915565,126.9417864,2026-08-26,official_reference,official_reference,corrected
LKR_395f4baffd7b,중구,충무창업큐브,광희동 퇴계로 265,서울특별시 중구 광희동 퇴계로 265,37.56297,127.0012,2026-08-26,official_reference,seoul_open_api,corrected
LKR_eae21d5abe1a,강동구,강동구 평생학습관,구천면로 395,서울특별시 강동구 구천면로 395,37.55099,127.14269,2026-08-26,official_reference,seoul_open_api,corrected
LKR_f090964198dc,관악구,미성체육관,난우16길 37,서울특별시 관악구 난우16길 37,37.47781,126.91912,2026-08-26,official_reference,seoul_open_api,corrected
LKR_c0d5c759d29c,성동구,응봉동공영주차장,독서당로63길 40,서울특별시 성동구 독서당로63길 40,37.5533232,127.0307171,2026-08-26,official_reference,seoul_open_api,corrected
LKR_1f59fee2a818,서초구,양재1동 반딧불센터,양재천로 125-10,서울특별시 서초구 양재천로 125-10,37.4785771,127.0413752,2026-08-26,official_reference,seoul_open_api,corrected
LKR_8482980bbedc,강동구,천호청소년문화의집,천중로 61,서울특별시 강동구 천중로 61,37.54515,127.12879,2026-08-26,official_reference,seoul_open_api,corrected
LKR_887abf8acf07,강동구,구립안말경로당,풍성로45길 11,서울특별시 강동구 풍성로45길 11,37.53122,127.129853,2026-08-26,official_reference,seoul_open_api,corrected
LKR_7eeaa34098a5,중랑구,상봉2동 주민센터,동일로 114길 10,서울특별시 중랑구 동일로 114길 10,37.59311,127.0809,2026-08-26,seoul_open_api,seoul_open_api,original
LKR_d9606668226b,중랑구,면목5동 주민센터,동일로 619,서울특별시 중랑구 동일로 619,37.58575281,127.0794744,2026-08-26,seoul_open_api,seoul_open_api,original
LKR_d4dc5ef6efa6,중랑구,면목4동주민센터,면목로 246,서울특별시 중랑구 면목로 246,37.57470148,127.0856085,2026-08-26,seoul_open_api,seoul_open_api,original
LKR_ab094096a63a,중랑구,면목본동 주민센터,면목로 397,서울특별시 중랑구 면목로 397,37.58735563,127.0875552,2026-08-26,seoul_open_api,seoul_open_api,original
LKR_0a1eac3fa5f1,중랑구,상봉1동주민센터,상봉중앙로1길 6,서울특별시 중랑구 상봉중앙로1길 6,37.59981,127.08724,2026-08-26,seoul_open_api,seoul_open_api,original
LKR_ffe3439a216e,중구,약수교회 식당입구,다산로8길 32,서울특별시 중구 다산로8길 32,37.55254904,127.0109231,2026-08-26,seoul_open_api,seoul_open_api,original
LKR_00d68369e68e,중구,장충체육관 후문,동호로 241,서울특별시 중구 동호로 241,37.55864066,127.0066775,2026-08-26,seoul_open_api,seoul_open_api,original
