locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,snapshot_date,period,occupancy_rate,usage_count,year,period_end,months_observed,is_partial_year,installed_year_conflict,data_quality_status,occupancy_rate_pct,monthly_avg_usage
STAT_f2873d5dd989,종로구,청운효자동 자치회관,자하문로19길 36,운영,2017,,19,2026-06-30,2021,0.35,2425.0,2021,2021-12-31,12,False,False,ok,35.0,202.08333333333334
STAT_fc2a86ed1394,종로구,종로육아종합지원센터,성균관로1길 6-3,운영,2015,,19,2026-06-30,2021,,3014.0,2021,2021-12-31,12,False,False,ok,,251.16666666666666
STAT_0cd8a2d799e5,종로구,숭인1동 주민센터,지봉로 86,운영,2014,,19,2026-06-30,2021,,3252.0,2021,2021-12-31,12,False,False,ok,,271.0
STAT_c7e46abc1681,종로구,숭인제2동주민센터,종로65길 10,운영,2020,,12,2026-06-30,2021,,176.0,2021,2021-12-31,12,False,False,ok,,14.666666666666666
STAT_21a86d9f47ae,종로구,종로구민회관,지봉로5길 7-5,운영,2019,,12,2026-06-30,2021,,960.0,2021,2021-12-31,12,False,False,ok,,80.0
STAT_993b2f02ae9c,중구,약수동공영주차장,동호로8다길 22,철거,2017,2025,12,2026-06-30,2021,0.21,1226.0,2021,2021-12-31,12,False,False,ok,21.0,102.16666666666667
STAT_faccecab1808,중구,버티 공영주차장,동호로17길 270,운영,2017,,19,2026-06-30,2021,,2442.0,2021,2021-12-31,12,False,False,ok,,203.5
STAT_54b150fff4fd,중구,장충체육관 후문,동호로 241,운영,2016,,19,2026-06-30,2021,,1455.0,2021,2021-12-31,12,False,False,ok,,121.25
STAT_b9f19c6dddd0,중구,약수교회 식당입구,다산로8길 32,철거,2014,2025,19,2026-06-30,2021,,1565.0,2021,2021-12-31,12,False,False,ok,,130.41666666666666
STAT_f8bb8db97063,중구,장충공영주차장,장충동2가 192-129,철거,2018,2024,12,2026-06-30,2021,,545.0,2021,2021-12-31,12,False,False,ok,,45.416666666666664
STAT_5f1ff7970896,중구,충현 공영주차장,동호로 11나길 47,철거,,2024,12,2026-06-30,2021,,238.0,2021,2021-12-31,12,False,False,ok,,19.833333333333332
STAT_438c9ca92101,중구,명동주민센터,퇴계로20나길 16,철거,2016,2024,19,2026-06-30,2021,,2499.0,2021,2021-12-31,12,False,False,ok,,208.25
STAT_3b03968e50d1,중구,다산동공영주차장,동호로15길60,철거,,2022,12,2026-06-30,2021,,379.0,2021,2021-12-31,12,False,False,ok,,31.583333333333332
STAT_8249f19c6910,중구,충무창업큐브,광희동 퇴계로 265,운영,2023,,12,2026-06-30,2021,,,2021,2021-12-31,12,False,False,ok,,
STAT_1b5b79410bc5,용산구,보광동주민센터,장문로 95,운영,2020,,12,2026-06-30,2021,0.33,1583.0,2021,2021-12-31,12,False,False,ok,33.0,131.91666666666666
STAT_0f7ce7abe0cd,용산구,숙대 명재관 인근,효창원로86길 33,운영,2017,,19,2026-06-30,2021,,2049.0,2021,2021-12-31,12,False,False,ok,,170.75
STAT_4050d8fe3123,용산구,용산치안센터(2가동주민센터),신흥로 90,운영,2016,,19,2026-06-30,2021,,2126.0,2021,2021-12-31,12,False,False,ok,,177.16666666666666
STAT_e81e7c62c745,용산구,효창동주민센터,효창원로 161,운영,2016,,19,2026-06-30,2021,,1588.0,2021,2021-12-31,12,False,False,ok,,132.33333333333334
STAT_7b48b85b0312,용산구,한남동공영주차장,이태원로 224-19,운영,2016,,12,2026-06-30,2021,,1300.0,2021,2021-12-31,12,False,False,ok,,108.33333333333333
STAT_9b09f30c5033,용산구,용산구청후문,녹사평대로 150,운영,2013,,19,2026-06-30,2021,,3502.0,2021,2021-12-31,12,False,False,ok,,291.8333333333333
