locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,2021,2022,2023,2024,2025,2026_h1,snapshot_date,source_sheet
STAT_f2873d5dd989,종로구,청운효자동 자치회관,자하문로19길 36,운영,2017,,19,0.35,0.27,0.24,0.28010821803303215,0.2654482644784003,0.26662692798304005,2026-06-30,구별 연간 점유율
STAT_fc2a86ed1394,종로구,종로육아종합지원센터,성균관로1길 6-3,운영,2015,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_0cd8a2d799e5,종로구,숭인1동 주민센터,지봉로 86,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_c7e46abc1681,종로구,숭인제2동주민센터,종로65길 10,운영,2020,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_21a86d9f47ae,종로구,종로구민회관,지봉로5길 7-5,운영,2019,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_993b2f02ae9c,중구,약수동공영주차장,동호로8다길 22,철거,2017,2025,12,0.21,0.19,0.19,0.17610142302182555,0.19230336706461496,0.18529455358827174,2026-06-30,구별 연간 점유율
STAT_faccecab1808,중구,버티 공영주차장,동호로17길 270,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_54b150fff4fd,중구,장충체육관 후문,동호로 241,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_b9f19c6dddd0,중구,약수교회 식당입구,다산로8길 32,철거,2014,2025,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_f8bb8db97063,중구,장충공영주차장,장충동2가 192-129,철거,2018,2024,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_5f1ff7970896,중구,충현 공영주차장,동호로 11나길 47,철거,,2024,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_438c9ca92101,중구,명동주민센터,퇴계로20나길 16,철거,2016,2024,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_3b03968e50d1,중구,다산동공영주차장,동호로15길60,철거,,2022,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_8249f19c6910,중구,충무창업큐브,광희동 퇴계로 265,운영,2023,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_1b5b79410bc5,용산구,보광동주민센터,장문로 95,운영,2020,,12,0.33,0.31,0.27,0.26792732144694853,0.2926188806447985,0.271214995006644,2026-06-30,구별 연간 점유율
STAT_0f7ce7abe0cd,용산구,숙대 명재관 인근,효창원로86길 33,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_4050d8fe3123,용산구,용산치안센터(2가동주민센터),신흥로 90,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_e81e7c62c745,용산구,효창동주민센터,효창원로 161,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_7b48b85b0312,용산구,한남동공영주차장,이태원로 224-19,운영,2016,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_9b09f30c5033,용산구,용산구청후문,녹사평대로 150,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_6d1860ea10b7,용산구,효창종합사회복지관,효창원로146-12,철거,,2023,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_12ddd3aab93b,용산구,갈월종합사회복지관,두텁바위로 25,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_1172c7332dcd,용산구,용산꿈나무종합타운,백범로 329,운영,2018,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_29cac3c98c62,성동구,열린금호교육문화관,무수막길 69,운영,,,12,0.21,0.23,0.25,0.2129440503318277,0.21619916279230264,0.22281776263100542,2026-06-30,구별 연간 점유율
STAT_9d3fa2b69083,성동구,성수2가3동 공영주차장,광나루로 4가길 23,운영,2021,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_4b912f14f5db,성동구,용답공영주차장,용답 29길 22,철거,2020,2024,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_943af5c9afc0,성동구,강변공영주차장,둘레길 47-5,철거,,2024,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_641149cfb49b,성동구,하왕십리공영주차장,무학봉길 48,운영,,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_bd325c0b6958,성동구,성동구민종합체육센터,왕십리로 89,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_6baaa2d14df5,성동구,응봉동 공영주차장,독서당로63길 40,운영,2024,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_cc117a8e3400,성동구,성동구립도서관,고산자로10길 9,운영,2016,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_9d29c73ae990,성동구,왕십리2동주민센터,무학봉15길 6,운영,2022,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_9a738c1e0e95,성동구,사근동주민센터,사근동길 37,운영,2018,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_d34ef1e8269d,광진구,자양2동주민센터,자양로3가길 26,운영,2019,,12,0.31,0.3,0.28,0.2903419886134317,0.2670844455481879,0.26585552886160174,2026-06-30,구별 연간 점유율
STAT_3676629fc0b6,광진구,자양문화체육센터,뚝섬로52길 66,운영,2021,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_075189ed3cf4,광진구,군자동주민센터,면목로 13,운영,2022,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_b1db1e2faece,광진구,구의1동공영주차장,자양로18길 78,운영,,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_23649dd805e2,광진구,중곡감리교회,긴고랑로36길 56,철거,2017,2023,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_758ff5ca6137,광진구,구의2동주택가 공동주차장,자양로 309,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_e9bf395d37b8,광진구,자양종합사회복지관,자양번영로 35,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_408bd0ac3797,광진구,중곡문화체육센터,능동로 433,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_e55a66477e82,광진구,중곡종합건강센터,긴고랑로 110,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_3acf37d271c1,광진구,화양동주민센터,능동로17길 39,운영,2015,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_63bdb69c59a1,광진구,자양4동 주민센터,뚝섬로26길 58,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_ca5751664bd1,광진구,동부여성발전센터,아차산로30길 36,운영,2014,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_2b92845e04d7,광진구,중곡1동주민센터,긴고랑로12길 49,운영,2018,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_cd0d76d74c3a,광진구,현대오일뱅크_중원주유소,동일로 398,철거,2019,2023,,,,,,,,2026-06-30,구별 연간 점유율
STAT_0c47cbd55ae6,광진구,광진경찰서,자양로 167,운영,2018,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_eaa2d3d65362,동대문구,휘경동공영주차장,망우로12길 33,운영,2019,,19,0.28,0.24,0.29,0.3340328138002088,0.27775828740758707,0.3170285603811708,2026-06-30,구별 연간 점유율
STAT_d0f69a3385d2,동대문구,이문체육문화센터,한천로58길 81-49,운영,2022,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_8507bb784f10,동대문구,신한은행 외대역 지점,휘경로 23(이문동),철거,2019,2026,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_764b677382e5,동대문구,나사렛교회,전농로27길 42,철거,2017,2024,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_30253358ff81,동대문구,장안2동 공영주차장,답십리로65길 124-5,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_0e5791032abc,동대문구,동대문구청 종합민원실,천호대로 145,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_d88bac6a8b15,동대문구,동대문종합사회복지관,약령시로5길 22,철거,2016,2023,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_6bc8f8825cac,동대문구,회기동공영주차장,회기로25길 31,운영,2016,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_a301e08fb187,동대문구,답십리도서관,서울시립대로4길 75,운영,2015,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_3639fcc7ebce,동대문구,정보화도서관,회기로10길 60,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_fb818619e613,동대문구,장안종합사회복지관,한천로18길 48,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_95a09e290bd9,동대문구,답십리2청소년독서실,답십리로56길 15,운영,2022,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_cbdc9360c91f,중랑구,중화1치안센터,동일로 792,철거,2021,2024,19,0.28,0.26,0.3,0.34701437417320563,0.2912051716126419,0.33089361151330593,2026-06-30,구별 연간 점유율
STAT_6de60005fdc0,중랑구,면목4동주민센터,면목로 246,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_0856c74ea1d5,중랑구,면목5동 주민센터,동일로 619,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_bf8a83ad9ef3,중랑구,면목본동 주민센터,면목로 397,운영,2013,,33,,,,,,,2026-06-30,구별 연간 점유율
STAT_6cb0a600e20f,중랑구,상봉1동주민센터,상봉중앙로1길 6,운영,2023,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_28eb1a2300e8,중랑구,상봉2동주민센터,동일로 114길 10,운영,,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_23e5d157fd2d,성북구,석관동주민센터,화랑로 296,운영,2019,,12,0.34,0.31,0.29,0.29702411758950276,0.31189721756227484,0.3038902489759345,2026-06-30,구별 연간 점유율
STAT_7c3980948ba9,성북구,성북정릉감리교회,보국문로8길 23,철거,2022,2026,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_db6096ed1b43,성북구,성북구립휘트니스센터,보문로29길 49,운영,2026,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_d02c85eb65b9,성북구,보문부모아이지원센터,지봉로24길 26,운영,2020,,12,,,,,,,2026-06-30,구별 연간 점유율
