locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,2021,2022,2023,2024,2025,2026_h1,snapshot_date,source_sheet
STAT_f2873d5dd989,종로구,청운효자동 자치회관,자하문로19길 36,운영,2017,,19,2425.0,2219.0,2036.0,1969.0,2045.0,803.0,2026-06-30,개소별 이용건수
STAT_fc2a86ed1394,종로구,종로육아종합지원센터,성균관로1길 6-3,운영,2015,,19,3014.0,2637.0,2143.0,3157.0,2733.0,1614.0,2026-06-30,개소별 이용건수
STAT_0cd8a2d799e5,종로구,숭인1동 주민센터,지봉로 86,운영,2014,,19,3252.0,2438.0,1858.0,2110.0,2230.0,819.0,2026-06-30,개소별 이용건수
STAT_c7e46abc1681,종로구,숭인제2동주민센터,종로65길 10,운영,2020,,12,176.0,406.0,505.0,628.0,529.0,307.0,2026-06-30,개소별 이용건수
STAT_21a86d9f47ae,종로구,종로구민회관,지봉로5길 7-5,운영,2019,,12,960.0,777.0,806.0,959.0,856.0,552.0,2026-06-30,개소별 이용건수
STAT_993b2f02ae9c,중구,약수동공영주차장,동호로8다길 22,철거,2017,2025,12,1226.0,1203.0,1118.0,1248.0,,,2026-06-30,개소별 이용건수
STAT_faccecab1808,중구,버티 공영주차장,동호로17길 270,운영,2017,,19,2442.0,2291.0,2217.0,1892.0,1647.0,928.0,2026-06-30,개소별 이용건수
STAT_54b150fff4fd,중구,장충체육관 후문,동호로 241,운영,2016,,19,1455.0,1552.0,1167.0,1530.0,2076.0,978.0,2026-06-30,개소별 이용건수
STAT_b9f19c6dddd0,중구,약수교회 식당입구,다산로8길 32,철거,2014,2025,19,1565.0,1270.0,1264.0,1416.0,,,2026-06-30,개소별 이용건수
STAT_f8bb8db97063,중구,장충공영주차장,장충동2가 192-129,철거,2018,2024,12,545.0,271.0,227.0,,,,2026-06-30,개소별 이용건수
STAT_5f1ff7970896,중구,충현 공영주차장,동호로 11나길 47,철거,,2024,12,238.0,151.0,264.0,,,,2026-06-30,개소별 이용건수
STAT_438c9ca92101,중구,명동주민센터,퇴계로20나길 16,철거,2016,2024,19,2499.0,2494.0,2281.0,,,,2026-06-30,개소별 이용건수
STAT_3b03968e50d1,중구,다산동공영주차장,동호로15길60,철거,,2022,12,379.0,,,,,,2026-06-30,개소별 이용건수
STAT_8249f19c6910,중구,충무창업큐브,광희동 퇴계로 265,운영,2023,,12,,,10.0,112.0,171.0,,2026-06-30,개소별 이용건수
STAT_1b5b79410bc5,용산구,보광동주민센터,장문로 95,운영,2020,,12,1583.0,1150.0,910.0,715.0,422.0,169.0,2026-06-30,개소별 이용건수
STAT_0f7ce7abe0cd,용산구,숙대 명재관 인근,효창원로86길 33,운영,2017,,19,2049.0,1805.0,2033.0,2190.0,2398.0,1467.0,2026-06-30,개소별 이용건수
STAT_4050d8fe3123,용산구,용산치안센터(2가동주민센터),신흥로 90,운영,2016,,19,2126.0,2209.0,1128.0,1549.0,1698.0,630.0,2026-06-30,개소별 이용건수
STAT_e81e7c62c745,용산구,효창동주민센터,효창원로 161,운영,2016,,19,1588.0,1660.0,848.0,1020.0,1140.0,583.0,2026-06-30,개소별 이용건수
