자치구,시설물명,주소,운영여부,설치연도,철거연도,칸수,2021년,2022년,2023년,2024년,2025년,2026년 6월
종로구,청운효자동 자치회관,자하문로19길 36,운영,2017,,19.0,0.35,0.27,0.24,0.28010821803303215,0.2654482644784003,0.26662692798304005
,종로육아종합지원센터,성균관로1길 6-3,운영,2015,,19.0,,,,,,
,숭인1동 주민센터,지봉로 86,운영,2014,,19.0,,,,,,
,숭인제2동주민센터,종로65길 10,운영,2020,,12.0,,,,,,
,종로구민회관,지봉로5길 7-5,운영,2019,,12.0,,,,,,
중구,약수동공영주차장,동호로8다길 22,철거,2017,2025.0,12.0,0.21,0.19,0.19,0.17610142302182555,0.19230336706461496,0.18529455358827174
,버티 공영주차장,동호로17길 270,운영,2017,,19.0,,,,,,
,장충체육관 후문,동호로 241,운영,2016,,19.0,,,,,,
,약수교회 식당입구,다산로8길 32,철거,2014,2025.0,19.0,,,,,,
,장충공영주차장,장충동2가 192-129,철거,2018,2024.0,12.0,,,,,,
,충현 공영주차장,동호로 11나길 47,철거,-,2024.0,12.0,,,,,,
,명동주민센터,퇴계로20나길 16,철거,2016,2024.0,19.0,,,,,,
,다산동공영주차장,동호로15길60,철거,-,2022.0,12.0,,,,,,
,충무창업큐브,광희동 퇴계로 265,운영,2023,,12.0,,,,,,
용산구,보광동주민센터,장문로 95,운영,2020,,12.0,0.33,0.31,0.27,0.26792732144694853,0.2926188806447985,0.271214995006644
,숙대 명재관 인근,효창원로86길 33,운영,2017,,19.0,,,,,,
,용산치안센터(2가동주민센터),신흥로 90,운영,2016,,19.0,,,,,,
,효창동주민센터,효창원로 161,운영,2016,,19.0,,,,,,
,한남동공영주차장,이태원로 224-19,운영,2016,,12.0,,,,,,
,용산구청후문,녹사평대로 150,운영,2013,,19.0,,,,,,
,효창종합사회복지관,효창원로146-12,철거,-,2023.0,19.0,,,,,,
,갈월종합사회복지관,두텁바위로 25,운영,2013,,26.0,,,,,,
,용산꿈나무종합타운,백범로 329,운영,2018,,12.0,,,,,,
성동구,열린금호교육문화관,무수막길 69,운영,-,,12.0,0.21,0.23,0.25,0.2129440503318277,0.21619916279230264,0.22281776263100542
,성수2가3동 공영주차장,광나루로 4가길 23,운영,2021,,12.0,,,,,,
,용답공영주차장,용답 29길 22,철거,2020,2024.0,12.0,,,,,,
,강변공영주차장,둘레길 47-5,철거,-,2024.0,19.0,,,,,,
,하왕십리공영주차장,무학봉길 48,운영,-,,12.0,,,,,,
,성동구민종합체육센터,왕십리로 89,운영,2017,,19.0,,,,,,
,응봉동 공영주차장,독서당로63길 40,운영,2024,,12.0,,,,,,
,성동구립도서관,고산자로10길 9,운영,2016,,26.0,,,,,,
,왕십리2동주민센터,무학봉15길 6,운영,2022,,12.0,,,,,,
,사근동주민센터,사근동길 37,운영,2018,,12.0,,,,,,
광진구,자양2동주민센터,자양로3가길 26,운영,2019,,12.0,0.31,0.3,0.28,0.2903419886134317,0.2670844455481879,0.26585552886160174
