자치구,시설물명,주소,운영여부,설치연도,철거연도,칸수,2021년,2022년,2023년,2024년,2025년,2026년 6월
종로구,청운효자동 자치회관,자하문로19길 36,운영,2017,,19.0,2425,2219,2036,1969,2045,803
,종로육아종합지원센터,성균관로1길 6-3,운영,2015,,19.0,3014,2637,2143,3157,2733,1614
,숭인1동 주민센터,지봉로 86,운영,2014,,19.0,3252,2438,1858,2110,2230,819
,숭인제2동주민센터,종로65길 10,운영,2020,,12.0,176,406,505,628,529,307
,종로구민회관,지봉로5길 7-5,운영,2019,,12.0,960,777,806,959,856,552
중구,약수동공영주차장,동호로8다길 22,철거,2017,2025.0,12.0,1226,1203,1118,1248,-,-
,버티 공영주차장,동호로17길 270,운영,2017,,19.0,2442,2291,2217,1892,1647,928
,장충체육관 후문,동호로 241,운영,2016,,19.0,1455,1552,1167,1530,2076,978
,약수교회 식당입구,다산로8길 32,철거,2014,2025.0,19.0,1565,1270,1264,1416,-,-
,장충공영주차장,장충동2가 192-129,철거,2018,2024.0,12.0,545,271,227,-,-,-
,충현 공영주차장,동호로 11나길 47,철거,-,2024.0,12.0,238,151,264,-,-,-
,명동주민센터,퇴계로20나길 16,철거,2016,2024.0,19.0,2499,2494,2281,-,-,-
,다산동공영주차장,동호로15길60,철거,-,2022.0,12.0,379,-,-,-,-,-
,충무창업큐브,광희동 퇴계로 265,운영,2023,,12.0,-,-,10,112,171,-
용산구,보광동주민센터,장문로 95,운영,2020,,12.0,1583,1150,910,715,422,169
,숙대 명재관 인근,효창원로86길 33,운영,2017,,19.0,2049,1805,2033,2190,2398,1467
,용산치안센터(2가동주민센터),신흥로 90,운영,2016,,19.0,2126,2209,1128,1549,1698,630
,효창동주민센터,효창원로 161,운영,2016,,19.0,1588,1660,848,1020,1140,583
,한남동공영주차장,이태원로 224-19,운영,2016,,12.0,1300,1330,1053,1304,1578,643
,용산구청후문,녹사평대로 150,운영,2013,,19.0,3502,3615,3088,2470,2060,717
,효창종합사회복지관,효창원로146-12,철거,-,2023.0,19.0,23,12,-,-,-,-
,갈월종합사회복지관,두텁바위로 25,운영,2013,,26.0,3553,4250,2944,3555,3617,1676
,용산꿈나무종합타운,백범로 329,운영,2018,,12.0,2057,1704,1781,1192,1945,992
성동구,열린금호교육문화관,무수막길 69,운영,-,,12.0,758,1019,1031,911,1472,661
,성수2가3동 공영주차장,광나루로 4가길 23,운영,2021,,12.0,168,221,808,747,533,363
,용답공영주차장,용답 29길 22,철거,2020,2024.0,12.0,98,484,577,-,-,-
,강변공영주차장,둘레길 47-5,철거,-,2024.0,19.0,202,411,502,-,-,-
,하왕십리공영주차장,무학봉길 48,운영,-,,12.0,503,625,1450,1083,801,528
,성동구민종합체육센터,왕십리로 89,운영,2017,,19.0,2290,2328,2115,2079,1720,824
,응봉동 공영주차장,독서당로63길 40,운영,2024,,12.0,-,-,-,3,15,13
,성동구립도서관,고산자로10길 9,운영,2016,,26.0,5305,5975,6037,5485,5110,2373
,왕십리2동주민센터,무학봉15길 6,운영,2022,,12.0,-,2830,1220,1023,624,392
,사근동주민센터,사근동길 37,운영,2018,,12.0,1270,844,768,829,673,300
광진구,자양2동주민센터,자양로3가길 26,운영,2019,,12.0,1311,770,442,503,744,303
,자양문화체육센터,뚝섬로52길 66,운영,2021,,19.0,47,167,1011,696,2165,975
,군자동주민센터,면목로 13,운영,2022,,12.0,-,99,375,700,1093,645
,구의1동공영주차장,자양로18길 78,운영,-,,19.0,697,1054,2047,812,701,1208
,중곡감리교회,긴고랑로36길 56,철거,2017,2023.0,19.0,1264,1127,-,-,-,-
,구의2동주택가 공동주차장,자양로 309,운영,2017,,19.0,2285,2404,2089,1996,2370,1196
